,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
583,2012-04-26,107.74408878029115,7.49,7.31,1.8500688660233366,22484700.0,0.0,1.0,7.35,7.49,7.31,7.45,22484700.0
584,2012-04-27,107.83306137543781,7.49,7.22,1.7290424552415604,19381300.0,0.0,1.0,7.44,7.49,7.22,7.33,19381300.0
585,2012-04-30,107.69203397058445,7.46,7.3,1.7580160444597845,13327200.0,0.0,1.0,7.3,7.46,7.3,7.36,13327200.0
586,2012-05-01,107.73100656573111,7.64,7.31,1.986989633678008,18849900.0,0.0,1.0,7.34,7.64,7.31,7.59,18849900.0
587,2012-05-02,107.89997916087776,7.65,7.465,2.025963222896232,14124600.0,0.0,1.0,7.51,7.65,7.465,7.63,14124600.0
588,2012-05-03,107.9589517560244,7.72,7.37,1.804936812114456,15768500.0,0.0,1.0,7.57,7.72,7.37,7.41,15768500.0
589,2012-05-04,107.73792435117105,7.4,7.13,1.5739104013326795,12320600.0,0.0,1.0,7.35,7.4,7.13,7.18,12320600.0
590,2012-05-07,107.5168969463177,7.32,7.13,1.5728839905509033,10558200.0,0.0,1.0,7.13,7.32,7.13,7.18,10558200.0
591,2012-05-08,107.48586954146435,7.12,6.9,1.4218575797691286,12568300.0,0.0,1.0,7.1,7.12,6.9,7.03,12568300.0
592,2012-05-09,107.28484213661099,6.96,6.72,1.2508311689873526,19307400.0,0.0,1.0,6.9,6.96,6.72,6.86,19307400.0
593,2012-05-10,106.96381473175765,6.85,6.48,1.1698047582055764,26539700.0,0.0,1.0,6.58,6.85,6.48,6.78,26539700.0
594,2012-05-11,107.1127873269043,7.03,6.72,1.1687783474238003,17698800.0,0.0,1.0,6.73,7.03,6.72,6.78,17698800.0
595,2012-05-14,107.07175992205094,6.89,6.63,1.137751936642024,13394600.0,0.0,1.0,6.69,6.89,6.63,6.75,13394600.0
596,2012-05-15,107.14073251719759,6.82,6.53,0.9867255258602475,12501500.0,0.0,1.0,6.76,6.82,6.53,6.6,12501500.0
597,2012-05-16,107.03970511234425,6.76,6.39,0.7756991150784714,17258100.0,0.0,1.0,6.66,6.76,6.39,6.39,17258100.0
598,2012-05-17,106.7586777074909,6.42,6.11,0.5146727042966955,27076500.0,0.0,1.0,6.38,6.42,6.11,6.13,27076500.0
599,2012-05-18,106.56765030263755,6.29,6.0,0.39364629351491925,14979900.0,0.0,1.0,6.19,6.29,6.0,6.01,14979900.0
600,2012-05-21,106.47662289778418,6.34,6.06,0.6826198827331431,16378200.0,0.0,1.0,6.1,6.34,6.06,6.3,16378200.0
601,2012-05-22,106.54559549293084,6.27,6.08,0.5415934719513673,12600900.0,0.0,1.0,6.17,6.27,6.08,6.16,12600900.0
602,2012-05-23,106.35456808807749,6.08,5.89,0.4605670611695912,19700000.0,0.0,1.0,5.98,6.08,5.89,6.08,19700000.0
603,2012-05-24,106.46354068322414,6.1,5.96,0.39954065038781456,9713100.0,0.0,1.0,6.09,6.1,5.96,6.02,9713100.0
604,2012-05-25,106.39251327837079,6.22,5.99,0.5985142396060386,10026500.0,0.0,1.0,6.02,6.22,5.99,6.22,10026500.0
605,2012-05-29,106.60148587351745,6.46,6.22,0.8374878288242626,16984800.0,0.0,1.0,6.23,6.46,6.22,6.46,16984800.0
606,2012-05-30,106.72045846866408,6.39,6.145,0.5264614180424869,18305600.0,0.0,1.0,6.35,6.39,6.145,6.15,18305600.0
607,2012-05-31,106.48943106381074,6.14,5.93,0.4554350072607105,19844100.0,0.0,1.0,6.12,6.14,5.93,6.08,19844100.0
608,2012-06-01,106.26840365895738,5.9,5.63,0.10440859647893566,25558000.0,0.0,1.0,5.9,5.9,5.63,5.73,25558000.0
609,2012-06-04,106.12737625410404,5.83,5.52,0.003382185697158999,15576200.0,0.0,1.0,5.76,5.83,5.52,5.63,15576200.0
610,2012-06-05,106.02634884925068,5.84,5.64,0.19735577491538317,12256100.0,0.0,1.0,5.66,5.84,5.64,5.825,12256100.0
611,2012-06-06,106.27532144439733,6.1,5.905,0.3913293641336064,13460500.0,0.0,1.0,5.91,6.1,5.905,6.02,13460500.0
612,2012-06-07,106.46429403954397,6.14,5.72,0.1303029533518305,17451300.0,0.0,1.0,6.1,6.14,5.72,5.76,17451300.0
613,2012-06-08,106.09326663469062,5.92,5.71,0.27927654257005474,7580800.0,0.0,1.0,5.73,5.92,5.71,5.91,7580800.0
614,2012-06-11,106.37223922983728,6.02,5.68,0.058250131788278876,11840200.0,0.0,1.0,6.01,6.02,5.68,5.69,11840200.0
615,2012-06-12,106.12121182498393,5.92,5.75,0.2772237210065025,12517400.0,0.0,1.0,5.76,5.92,5.75,5.91,12517400.0
616,2012-06-13,106.25018442013058,5.95,5.75,0.12619731022472602,12585700.0,0.0,1.0,5.89,5.95,5.75,5.76,12585700.0
617,2012-06-14,106.10915701527722,5.81,5.7,0.1251708994429499,8485800.0,0.0,1.0,5.75,5.81,5.7,5.76,8485800.0
618,2012-06-15,106.12812961042388,5.88,5.73,0.2341444886611741,9292400.0,0.0,1.0,5.77,5.88,5.73,5.87,9292400.0
619,2012-06-18,106.20710220557052,5.995,5.8,0.2931180778793976,11950000.0,0.0,1.0,5.85,5.995,5.8,5.93,11950000.0
620,2012-06-19,106.28607480071717,6.0,5.8,0.17209166709762133,21247800.0,0.0,1.0,5.93,6.0,5.8,5.81,21247800.0
621,2012-06-20,106.22504739586383,6.09,5.79,0.42106525631584524,23323500.0,0.0,1.0,5.87,6.09,5.79,6.06,23323500.0
622,2012-06-21,106.39401999101048,6.04,5.71,0.08003884553406923,17212000.0,0.0,1.0,6.04,6.04,5.71,5.72,17212000.0
623,2012-06-22,106.12299258615712,5.82,5.63,0.08901243475229378,15918900.0,0.0,1.0,5.77,5.82,5.63,5.73,15918900.0
624,2012-06-25,105.99196518130377,5.64,5.38,-0.23201397602948262,17470300.0,0.0,1.0,5.64,5.64,5.38,5.41,17470300.0
625,2012-06-26,105.79093777645042,5.5,5.39,-0.2030403868112585,10162500.0,0.0,1.0,5.44,5.5,5.39,5.44,10162500.0
626,2012-06-27,105.81991037159708,5.53,5.4,-0.144066797593035,8999200.0,0.0,1.0,5.47,5.53,5.4,5.5,8999200.0
627,2012-06-28,105.79888296674372,5.47,5.32,-0.2350932083748101,11533600.0,0.0,1.0,5.45,5.47,5.32,5.41,11533600.0
628,2012-06-29,105.93785556189036,5.73,5.575,0.08388038084341405,20948600.0,0.0,1.0,5.59,5.73,5.575,5.73,20948600.0
629,2012-07-02,106.09682815703701,5.78,5.66,0.1028539700616375,11159600.0,0.0,1.0,5.75,5.78,5.66,5.75,11159600.0
630,2012-07-03,106.12580075218366,6.08,5.77,0.3818275592798616,11319400.0,0.0,1.0,5.78,6.08,5.77,6.03,11319400.0
631,2012-07-05,106.14477334733031,5.98,5.79,0.23080114849808514,13359900.0,0.0,1.0,5.8,5.98,5.79,5.88,13359900.0
632,2012-07-06,106.14374594247695,5.825,5.68,0.09977473771630913,9952400.0,0.0,1.0,5.8,5.825,5.68,5.75,9952400.0
633,2012-07-09,106.03271853762361,5.78,5.61,-0.03125167306546689,13565900.0,0.0,1.0,5.69,5.78,5.61,5.62,13565900.0
634,2012-07-10,105.42169113277026,5.4,4.95,-0.662278083847243,75490100.0,0.0,1.0,5.08,5.4,4.95,4.99,75490100.0
635,2012-07-11,105.36066372791691,5.04,4.86,-0.7633044946290196,16155500.0,0.0,1.0,5.02,5.04,4.86,4.89,16155500.0
636,2012-07-12,105.18963632306355,4.96,4.81,-0.7743309054107955,19891400.0,0.0,1.0,4.85,4.96,4.81,4.88,19891400.0
637,2012-07-13,105.2286089182102,4.95,4.83,-0.7553573161925712,15546400.0,0.0,1.0,4.89,4.95,4.83,4.9,15546400.0
